Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3,0,0,255,255,255
250,3.0105,-0.0093,0.0186,255,255,255
500,3.05,-0.0441,0.0883,255,255,255
750,3.117,-0.1031,0.2066,255,255,255
1000,3.2096,-0.1848,0.3701,255,255,255
1250,3.3259,-0.2874,0.5755,255,255,255
1500,3.464,-0.4094,0.8195,255,255,255
1750,3.622,-0.5491,1.0987,255,255,255
2000,3.7981,-0.7049,1.4097,255,255,255
2250,3.9903,-0.8751,1.7494,255,255,255
2500,4.1968,-1.0581,2.1144,255,255,255
2750,4.416,-1.2522,2.5018,255,255,255
3000,4.6461,-1.4557,2.9083,255,255,255
3250,4.885,-1.6671,3.3306,255,255,255
3500,5.131,-1.8847,3.7653,255,255,255
3750,5.3823,-2.1067,4.2092,255,255,255
4000,5.6368,-2.3316,4.659,255,255,255
4250,5.8927,-2.5578,5.1113,255,255,255
4500,6.1483,-2.7835,5.5628,255,255,255
4750,6.4015,-3.0071,6.0102,255,255,255
5000,6.6506,-3.227,6.4502,255,255,255
5250,6.8936,-3.4415,6.8796,255,255,255
5500,7.1287,-3.649,7.2949,255,255,255
5750,7.354,-3.8478,7.693,255,255,255
6000,7.5676,-4.0362,8.0704,255,255,255
6250,7.7677,-4.2127,8.4238,255,255,255
6500,7.9524,-4.3756,8.7501,255,255,255
6750,8.1198,-4.5232,9.0457,255,255,255
7000,8.2681,-4.6538,9.3076,255,255,255
7250,8.3929,-4.7611,9.5263,255,255,255
7500,8.4901,-4.839,9.6936,255,255,255
7750,8.562,-4.8944,9.816,255,255,255
8000,8.6113,-4.9339,9.9005,255,255,255
8250,8.6402,-4.9646,9.9542,255,255,255
8500,8.6514,-4.9932,9.984,255,255,255
8750,8.6471,-5.0266,9.997,255,255,255
9000,8.63,-5.0718,10,255,255,255
9250,8.6027,-5.1347,10,255,255,255
9500,8.5667,-5.2167,10,255,255,255
9750,8.5212,-5.3172,10,255,255,255
10000,8.4657,-5.4354,10,255,255,255
10250,8.3995,-5.5707,10,255,255,255
10500,8.3219,-5.7226,10,255,255,255
10750,8.2323,-5.8903,10,255,255,255
11000,8.1292,-6.0744,10,255,255,255
11250,8.0107,-6.2758,10,255,255,255
11500,7.876,-6.4927,10,255,255,255
11750,7.7247,-6.723,10,255,255,255
12000,7.5561,-6.965,10,255,255,255
12250,7.3695,-7.2168,10,255,255,255
12500,7.1645,-7.4764,10,255,255,255
12750,6.9403,-7.742,10,255,255,255
13000,6.6964,-8.0118,10,255,255,255
13250,6.4323,-8.2837,10,255,255,255
13500,6.1472,-8.556,10,255,255,255
13750,5.8406,-8.8267,10,255,255,255
14000,5.5119,-9.094,10,255,255,255
14250,5.1605,-9.356,10,255,255,255
14500,4.7858,-9.6107,10,255,255,255
14750,4.3871,-9.8564,10,255,255,255
15000,3.964,-10.091,10,255,255,255
15250,3.5157,-10.3128,10,255,255,255
15500,3.0418,-10.5198,10,255,255,255
15750,2.5415,-10.7102,10,255,255,255
16000,2.0143,-10.8821,10,255,255,255
16250,1.4602,-11.0318,10,255,255,255
16500,0.8816,-11.1541,10,255,255,255
16750,0.2812,-11.2471,10,255,255,255
17000,-0.3384,-11.3089,10,255,255,255
17250,-0.9745,-11.3374,10,255,255,255
17500,-1.6244,-11.3307,10,255,255,255
17750,-2.2855,-11.2869,10,255,255,255
18000,-2.9552,-11.204,10,255,255,255
18250,-3.6307,-11.0802,10,255,255,255
18500,-4.3095,-10.9133,10,255,255,255
18750,-4.9889,-10.7016,10,255,255,255
19000,-5.6661,-10.443,10,255,255,255
19250,-6.3387,-10.1356,10,255,255,255
19500,-7.0025,-9.7771,10,255,255,255
19750,-7.6521,-9.3671,10,255,255,255
20000,-8.2835,-8.9077,10,255,255,255
20250,-8.8931,-8.401,10,255,255,255
