04/29/19:28:33,-53,-53.0,0.1
04/29/19:28:35,-54,-53.51923076923077,0.051923076923076926
04/29/19:28:37,-53,-53.324675324675326,0.03746993746993747
04/29/19:28:39,-54,-53.535763411279234,0.03125727436250132
04/29/19:28:40,-54,-53.66663386825143,0.02819046584260332
04/29/19:28:42,-54,-53.75522065389376,0.026573420994410138
04/29/19:28:44,-54,-53.81810721292698,0.025691121425713205
04/29/19:28:45,-54,-53.863945499795896,0.025200717195295583
04/29/19:28:47,-53,-53.648604240267865,0.024925329153158773
04/29/19:28:49,-53,-53.48794631121096,0.024769793208653003
04/29/19:28:51,-54,-53.614329678148756,0.024681663213223487
04/29/19:28:52,-61,-55.43354104629948,0.024631635164765048
04/29/19:28:57,-53,-54.83481191593269,0.02460320656095928
04/29/19:28:59,-53,-54.383685933031494,0.02458704235479494
04/29/19:29:00,-53,-54.04360570117315,0.024577848465458622
04/29/19:29:02,-53,-53.787164457149146,0.024572618157961995
04/29/19:29:04,-53,-53.59376096518757,0.024569642366986597
04/29/19:29:06,-53,-53.44788607299995,0.024567949181627507
04/29/19:29:07,-54,-53.58352382275778,0.02456698574781986
04/29/19:29:09,-53,-53.44017280732913,0.02456643753654589
04/29/19:29:11,-54,-53.57770065857239,0.024566125590851744
04/29/19:29:12,-54,-53.6814424955505,0.024565948084929998
04/29/19:29:14,-54,-53.75969884495118,0.02456584707866776
04/29/19:29:16,-55,-54.064388617143,0.02456578960291515
04/29/19:29:18,-52,-53.55725592803892,0.024565756897357946
