idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
38,1.9000000000000001,-1.4999990796650615,1.500000586456428,-8.262281965540577,7.430271230378816e-07,4.734722265917741e-07,-4.696317546781137,-0.00014811672682401658,-9.43830369988762e-05,5.895311618186009,0,70,255.0,255.0,255.0
39,1.9500000000000002,-1.4999992594163658,1.5000004719151852,-8.489436558090931,-8.568214344007953e-06,-5.459843116879338e-06,-4.384023249913644,-0.00022433293185781625,-0.00014294957673996806,6.596460256513718,0,70,255.0,255.0,255.0
40,2.0,-1.5,1.5,-8.7001,-2.1690266062743696e-05,-1.3821485447405002e-05,-4.036671521129767,-0.00030054913689161555,-0.00019151611648105974,7.297608894841417,0,70,255.0,255.0,255.0
41,2.0500000000000003,-1.5000013416819078,1.4999991450525818,-8.892870624119391,-2.9606653926421e-05,-1.8865971270553497e-05,-3.675334627274743,-1.6106377655474924e-05,-1.026331644487892e-05,7.155866859359465,0,70,255.0,255.0,255.0
42,2.1,-1.5000027236297602,1.499998264446873,-9.067751581090377,-2.3300903828291324e-05,-1.4847817091892972e-05,-3.32108483519382,0.0002683363815806631,0.00017098948359130028,7.0141248238775145,0,70,255.0,255.0,255.0
43,2.15,-1.500003434736658,1.4999978113148726,-9.225097226001672,-2.773015768354784e-06,-1.7670229114235232e-06,-2.973922144886994,0.0005527791408168012,0.00035224228362747953,6.872382788395564,0,70,255.0,255.0,255.0
44,2.2,-1.500002763895704,1.499998238788582,-9.365261913941978,3.197701025338897e-05,2.0376411270855096e-05,-2.6338465563542623,0.0008372219000529418,0.0005334950836636604,6.730640752913612,0,70,255.0,255.0,255.0
45,2.25,-1.5,1.5,-9.4886,8.094917423693934e-05,5.158248545494247e-05,-2.3008580695956318,0.0011216646592890796,0.0007147478836998396,6.588898717431682,0,70,255.0,255.0,255.0
46,2.3000000000000003,-1.4999949927749774,1.5000031907071856,-9.59558348862316,0.00011049353640362443,7.040876312984376e-05,-1.982015646134046,6.0109827378317365e-05,3.83032232962084e-05,6.1647982210316865,0,70,255.0,255.0,255.0
47,2.35,-1.4999898352753862,1.500006477172429,-9.687154981693737,8.696015697477157e-05,5.541280778456362e-05,-1.6843782474924625,-0.0010014450045324353,-0.0006381414371074169,5.740697724631695,0,70,255.0,255.0,255.0
48,2.4000000000000004,-1.4999871813883066,1.5000081682840802,-9.764374730452738,1.0349035950380333e-05,6.594619419101743e-06,-1.407945873670876,-0.0020629998364431975,-0.001314586097511048,5.316597228231699,0,70,255.0,255.0,255.0
49,2.45,-1.4999896850008179,1.5000065729304877,-9.828302986141159,-0.00011933982666954791,-7.604580196654101e-05,-1.1527185246692917,-0.00312455466835395,-0.0019910307579146733,4.892496731831708,0,70,255.0,255.0,255.0
50,2.5,-1.5,1.5,-9.88,-0.00030210643088501366,-0.00019250845637236487,-0.918696200487707,-0.004186109500264703,-0.0026674754183182983,4.468396235431716,0,70,255.0,255.0,255.0
51,2.5500000000000003,-1.5000186872181827,1.499988092118676,-9.92057382138798,-0.00041236749168807666,-0.0002627690812488216,-0.7087467881890711,-0.00022433293185779475,-0.0001429495767399547,3.9295802565136753,0,70,255.0,255.0,255.0
