idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-1.5,-1.5,-0.008,-1.1208081344140554e-08,-3.4595898351427447e-09,0.7235077077808896,1.3449697612968666e-07,4.151507802171294e-08,-18.056492493370676,0,70,255.0,255.0,255.0
1,0.05,-1.500000000403491,-1.5000000001245453,0.006368677480112022,-5.155717418304654e-09,-1.5914113241656626e-09,-0.1334824544207909,1.0759758090374933e-07,3.321206241737035e-08,-16.22311399469654,0,70,255.0,255.0,255.0
2,0.1,-1.5000000005379879,-1.5000000001660605,-0.019820430026517323,-4.4832325376562203e-10,-1.3838359340570995e-10,-0.8988036916887646,8.0698185677812e-08,2.4909046813027764e-08,-14.389735496022407,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.5000000004707394,-1.5000000001453027,-0.08198387627320268,2.9141011494765473e-09,8.994933571371141e-10,-1.5724560040230318,5.3798790451874644e-08,1.660603120868517e-08,-12.55635699734827,0,70,255.0,255.0,255.0
4,0.2,-1.500000000268994,-1.50000000008303,-0.17553821501325872,4.931555791421841e-09,1.5222195274628074e-09,-2.1544393914235918,2.689939522593733e-08,8.303015604342589e-09,-10.722978498674136,0,70,255.0,255.0,255.0
5,0.25,-1.5,-1.5,-0.2959,5.604040672070277e-09,1.7297949175713724e-09,-2.6447538538904447,0.0,0.0,-8.88959999999999,0,70,255.0,255.0,255.0
6,0.30000000000000004,-1.499999999731006,-1.49999999991697,-0.43848578498674146,4.931555791421842e-09,1.5222195274628072e-09,-3.0433993914235913,-2.6899395225937355e-08,-8.303015604342596e-09,-7.056221501325858,0,70,255.0,255.0,255.0
7,0.35000000000000003,-1.4999999995292606,-1.4999999998546973,-0.5987121237267975,2.914101149476542e-09,8.99493357137113e-10,-3.350376004023031,-5.3798790451874683e-08,-1.660603120868518e-08,-5.222843002651729,0,70,255.0,255.0,255.0
8,0.4,-1.4999999994620121,-1.4999999998339395,-0.7719955699734827,-4.483232537656245e-10,-1.3838359340571058e-10,-3.5656836916887644,-8.069818567781201e-08,-2.4909046813027767e-08,-3.3894645039775977,0,70,255.0,255.0,255.0
9,0.45,-1.4999999995965092,-1.4999999998754547,-0.9537526774801119,-5.155717418304658e-09,-1.5914113241656632e-09,-3.68932245442079,-1.0759758090374933e-07,-3.321206241737035e-08,-1.5560860053034675,0,70,255.0,255.0,255.0
10,0.5,-1.5,-1.5,-1.1394,-1.1208081344140554e-08,-3.4595898351427447e-09,-3.7212922922191103,-1.3449697612968666e-07,-4.151507802171294e-08,0.2772924933706662,0,70,255.0,255.0,255.0
11,0.55,-1.500000000672485,-1.5000000002075753,-1.3252967375331468,-1.4570505747382722e-08,-4.497466785685568e-09,-3.718151979884844,1.3234889800848443e-22,3.3087224502121107e-23,-0.1516800000000078,0,70,255.0,255.0,255.0
12,0.6000000000000001,-1.50000000134497,-1.5000000004151508,-1.5115726750662937,-1.1208081344140541e-08,-3.459589835142741e-09,-3.7364602922191112,1.3449697612968692e-07,4.1515078021713005e-08,-0.5806524933706818,0,70,255.0,255.0,255.0
13,0.65,-1.5000000016812123,-1.5000000005189384,-1.6993002438328666,-1.120808134414056e-09,-3.459589835142726e-10,-3.7762172292219116,2.6899395225937336e-07,8.303015604342589e-08,-1.009624986741355,0,70,255.0,255.0,255.0
14,0.7000000000000001,-1.5000000013449697,-1.5000000004151508,-1.8895518750662936,1.569131388179681e-08,4.84342576919985e-09,-3.8374227908932466,4.034909283890602e-07,1.2454523406513885e-07,-1.438597480112029,0,70,255.0,255.0,255.0
15,0.75,-1.5,-1.5,-2.0834,3.922828470449194e-08,1.2108564422999606e-08,-3.9200769772331148,5.379879045187466e-07,1.6606031208685175e-07,-1.8675699734826807,0,70,255.0,255.0,255.0
16,0.8,-1.4999999975790546,-1.4999999992527289,-2.2821072648806724,5.335046719810904e-08,1.6467647615279464e-08,-4.035592689037035,2.689939522593697e-08,8.303015604342463e-09,-2.7530584986741182,0,70,255.0,255.0,255.0
17,0.8500000000000001,-1.4999999950908602,-1.4999999984846994,-2.48769717600803,4.191822422708563e-08,1.2938865983433853e-08,-4.195382827100526,-4.841891140668727e-07,-1.4945428087816683e-07,-3.6385470238655557,0,70,255.0,255.0,255.0
18,0.9,-1.4999999938131392,-1.4999999980903065,-2.702383454695051,4.931555791421841e-09,1.5222195274628008e-09,-4.399447391423591,-9.952776233596814e-07,-3.072115773606758e-07,-4.5240355490569915,0,70,255.0,255.0,255.0
19,0.9500000000000001,-1.4999999950236118,-1.4999999984639423,-2.928379822254715,-5.760953810888253e-08,-1.7782291752633736e-08,-4.647786382006227,-1.5063661326524911e-06,-4.649688738431851e-07,-5.409524074248429,0,70,255.0,255.0,255.0
20,1.0,-1.5,-1.5,-3.1679,-1.457050574738272e-07,-4.497466785685568e-08,-4.940399798848433,-2.0174546419452996e-06,-6.227261703256942e-07,-6.295012599439879,0,70,255.0,255.0,255.0
21,1.05,-1.5000000090112975,-1.5000000027815104,-3.4223958029441643,-1.9883136304505343e-07,-6.137312367543229e-08,-5.231573263967016,-1.0759758090374746e-07,-3.321206241736996e-08,-5.351926005303477,0,70,255.0,255.0,255.0
