Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,0,255,255,255
250,0,0.0186,0.0186,255,255,255
500,0,0.0883,0.0883,255,255,255
750,0,0.2066,0.2066,255,255,255
1000,0,0.3701,0.3701,255,255,255
1250,0,0.5755,0.5755,255,255,255
1500,0,0.8195,0.8195,255,255,255
1750,0,1.0987,1.0987,255,255,255
2000,0,1.4097,1.4097,255,255,255
2250,0,1.7494,1.7494,255,255,255
2500,0,2.1144,2.1144,255,255,255
2750,0,2.5018,2.5018,255,255,255
3000,0,2.9083,2.9083,255,255,255
3250,0,3.3306,3.3306,255,255,255
3500,0,3.7653,3.7653,255,255,255
3750,0,4.2092,4.2092,255,255,255
4000,0,4.659,4.659,255,255,255
4250,0,5.1113,5.1113,255,255,255
4500,0,5.5628,5.5628,255,255,255
4750,0,6.0102,6.0102,255,255,255
5000,0,6.4502,6.4502,255,255,255
5250,0,6.8796,6.8796,255,255,255
5500,0,7.2949,7.2949,255,255,255
5750,0,7.693,7.693,255,255,255
6000,0,8.0704,8.0704,255,255,255
6250,0,8.4238,8.4238,255,255,255
6500,0,8.7501,8.7501,255,255,255
6750,0,9.0457,9.0457,255,255,255
7000,0,9.3076,9.3076,255,255,255
7250,-0.0021,9.5261,9.5263,255,255,255
7500,-0.0081,9.6928,9.6936,255,255,255
7750,-0.0145,9.8146,9.816,255,255,255
8000,-0.0176,9.899,9.9005,255,255,255
8250,-0.0136,9.9533,9.9542,255,255,255
8500,0.001,9.985,9.984,255,255,255
8750,0.03,10.0014,9.997,255,255,255
9000,0.0771,10.0098,10,255,255,255
9250,0.145,10.0176,10,255,255,255
9500,0.234,10.0273,10,255,255,255
9750,0.3436,10.0379,10,255,255,255
10000,0.4737,10.0488,10,255,255,255
10250,0.624,10.059,10,255,255,255
10500,0.7942,10.0677,10,255,255,255
10750,0.9842,10.0742,10,255,255,255
11000,1.195,10.0773,10,255,255,255
11250,1.4286,10.0757,10,255,255,255
11500,1.6836,10.0677,10,255,255,255
11750,1.9588,10.0519,10,255,255,255
12000,2.2527,10.0269,10,255,255,255
12250,2.564,9.9913,10,255,255,255
12500,2.8914,9.9435,10,255,255,255
12750,3.2336,9.8822,10,255,255,255
13000,3.5892,9.8058,10,255,255,255
13250,3.9569,9.7129,10,255,255,255
13500,4.3354,9.6021,10,255,255,255
13750,4.7232,9.4718,10,255,255,255
14000,5.1192,9.3207,10,255,255,255
14250,5.5219,9.1472,10,255,255,255
14500,5.9299,8.95,10,255,255,255
14750,6.3421,8.7275,10,255,255,255
15000,6.757,8.4783,10,255,255,255
15250,7.1732,8.201,10,255,255,255
15500,7.5896,7.8941,10,255,255,255
15750,8.0046,7.5561,10,255,255,255
16000,8.4171,7.1855,10,255,255,255
16250,8.8237,6.7807,10,255,255,255
16500,9.2189,6.341,10,255,255,255
16750,9.5995,5.8678,10,255,255,255
17000,9.9627,5.3623,10,255,255,255
17250,10.3053,4.8258,10,255,255,255
17500,10.6243,4.2598,10,255,255,255
17750,10.9169,3.6654,10,255,255,255
18000,11.1799,3.0441,10,255,255,255
18250,11.4103,2.3971,10,255,255,255
18500,11.6052,1.7257,10,255,255,255
18750,11.7616,1.0313,10,255,255,255
19000,11.8765,0.3152,10,255,255,255
19250,11.9468,-0.4214,10,255,255,255
19500,11.9685,-1.176,10,255,255,255
19750,11.9384,-1.9438,10,255,255,255
20000,11.8564,-2.7205,10,255,255,255
20250,11.7224,-3.5019,10,255,255,255
20500,11.5362,-4.2837,10,255,255,255
20750,11.2979,-5.0615,10,255,255,255
21000,11.0074,-5.8313,10,255,255,255
21250,10.6647,-6.5886,10,255,255,255
21500,10.2695,-7.3292,10,255,255,255
21750,9.8219,-8.0489,10,255,255,255
22000,9.3218,-8.7433,10,255,255,255
22250,8.7692,-9.4083,10,255,255,255
22500,8.1639,-10.0396,10,255,255,255
22750,7.5069,-10.6313,10,255,255,255
23000,6.8027,-11.1776,10,255,255,255
23250,6.0556,-11.6766,10,255,255,255
23500,5.2701,-12.1262,10,255,255,255
23750,4.4504,-12.5244,10,255,255,255
24000,3.601,-12.8694,10,255,255,255
24250,2.7262,-13.1591,10,255,255,255
24500,1.8305,-13.3916,10,255,255,255
24750,0.9182,-13.5649,10,255,255,255
25000,-0.0063,-13.677,10,255,255,255
25250,-0.9387,-13.726,10,255,255,255
25500,-1.8745,-13.7099,10,255,255,255
25750,-2.8093,-13.6267,10,255,255,255
26000,-3.7375,-13.4756,10,255,255,255
26250,-4.6524,-13.2596,10,255,255,255
26500,-5.5509,-12.9813,10,255,255,255
26750,-6.4297,-12.6436,10,255,255,255
27000,-7.2856,-12.2494,10,255,255,255
27250,-8.1154,-11.8013,10,255,255,255
27500,-8.9159,-11.3022,10,255,255,255
27750,-9.6839,-10.7549,10,255,255,255
28000,-10.4162,-10.1621,10,255,255,255
28250,-11.1094,-9.5267,10,255,255,255
28500,-11.7606,-8.8514,10,255,255,255
28750,-12.3663,-8.1391,10,255,255,255
29000,-12.9234,-7.3926,10,255,255,255
29250,-13.4295,-6.6156,10,255,255,255
29500,-13.885,-5.8134,10,255,255,255
29750,-14.2905,-4.9894,10,255,255,255
30000,-14.6463,-4.1469,10,255,255,255
30250,-14.9531,-3.2894,10,255,255,255
30500,-15.2113,-2.4203,10,255,255,255
30750,-15.4215,-1.5431,10,255,255,255
31000,-15.5841,-0.661,10,255,255,255
31250,-15.6996,0.2224,10,255,255,255
31500,-15.7686,1.1037,10,255,255,255
31750,-15.7916,1.9796,10,255,255,255
32000,-15.7697,2.8466,10,255,255,255
32250,-15.7055,3.7023,10,255,255,255
32500,-15.6015,4.5454,10,255,255,255
32750,-15.4601,5.3748,10,255,255,255
33000,-15.2838,6.1892,10,255,255,255
33250,-15.0749,6.9873,10,255,255,255
33500,-14.8359,7.768,10,255,255,255
33750,-14.5692,8.5299,10,255,255,255
34000,-14.2772,9.2718,10,255,255,255
34250,-13.9624,9.9924,10,255,255,255
34500,-13.6272,10.6906,10,255,255,255
34750,-13.2739,11.3651,10,255,255,255
35000,-12.9057,12.0148,10,255,255,255
35250,-12.5257,12.6402,10,255,255,255
35500,-12.1361,13.2422,10,255,255,255
35750,-11.7391,13.8217,10,255,255,255
36000,-11.3368,14.3799,10,255,255,255
36250,-10.9315,14.9176,10,255,255,255
36500,-10.5251,15.4358,10,255,255,255
36750,-10.12,15.9356,10,255,255,255
37000,-9.7182,16.4178,10,255,255,255
37250,-9.3219,16.8835,10,255,255,255
37500,-8.9333,17.3336,10,255,255,255
37750,-8.5545,17.7692,10,255,255,255
38000,-8.1877,18.1912,10,255,255,255
38250,-7.835,18.6006,10,255,255,255
38500,-7.4985,18.9984,10,255,255,255
38750,-7.1805,19.3855,10,255,255,255
39000,-6.883,19.763,10,255,255,255
39250,-6.6083,20.1318,10,255,255,255
39500,-6.3585,20.4928,10,255,255,255
39750,-6.1357,20.8472,10,255,255,255
40000,-5.9421,21.1957,10,255,255,255
40250,-5.7799,21.5396,10,255,255,255
40500,-5.6512,21.8796,10,255,255,255
40750,-5.5581,22.2168,10,255,255,255
41000,-5.5028,22.5522,10,255,255,255
41250,-5.4875,22.8868,10,255,255,255
41500,-5.5072,23.2225,10.0002,255,255,255
41750,-5.549,23.5617,10.0009,255,255,255
42000,-5.6111,23.9048,10.0022,255,255,255
42250,-5.6922,24.2519,10.0042,255,255,255
42500,-5.7908,24.6035,10.0068,255,255,255
42750,-5.9055,24.9597,10.0101,255,255,255
43000,-6.0349,25.3209,10.0142,255,255,255
43250,-6.1776,25.6873,10.019,255,255,255
43500,-6.3321,26.0591,10.0247,255,255,255
43750,-6.497,26.4367,10.0312,255,255,255
44000,-6.6709,26.8203,10.0386,255,255,255
44250,-6.8524,27.2103,10.047,255,255,255
44500,-7.04,27.6067,10.0563,255,255,255
44750,-7.2349,28.0096,10.0666,255,255,255
45000,-7.4415,28.4178,10.0777,255,255,255
45250,-7.6601,28.8311,10.0896,255,255,255
45500,-7.8911,29.249,10.1024,255,255,255
45750,-8.1349,29.6711,10.116,255,255,255
46000,-8.3918,30.0972,10.1303,255,255,255
46250,-8.6621,30.5268,10.1455,255,255,255
46500,-8.9462,30.9596,10.1615,255,255,255
46750,-9.2445,31.3952,10.1782,255,255,255
47000,-9.5571,31.8333,10.1958,255,255,255
47250,-9.8846,32.2734,10.2141,255,255,255
47500,-10.2273,32.7152,10.2332,255,255,255
47750,-10.5854,33.1583,10.2531,255,255,255
48000,-10.9594,33.6024,10.2737,255,255,255
48250,-11.3495,34.0471,10.2951,255,255,255
48500,-11.7561,34.492,10.3172,255,255,255
48750,-12.1796,34.9368,10.3401,255,255,255
49000,-12.6203,35.381,10.3637,255,255,255
49250,-13.0786,35.8244,10.3881,255,255,255
49500,-13.5547,36.2665,10.4131,255,255,255
49750,-14.0491,36.707,10.439,255,255,255
