Time [msec],x [m],y [m],z [m],Red,Green,Blue
30250,10.3238,-11.305,10,255,255,255
30500,9.7006,-11.9648,10,255,255,255
30750,9.0463,-12.5868,10,255,255,255
31000,8.3643,-13.1692,10,255,255,255
31250,7.6575,-13.7107,10,255,255,255
31500,6.9292,-14.2095,10,255,255,255
31750,6.183,-14.6647,10,255,255,255
32000,5.4221,-15.0773,10,255,255,255
32250,4.6492,-15.4487,10,255,255,255
32500,3.8665,-15.7802,10,255,255,255
32750,3.0768,-16.073,10,255,255,255
33000,2.2823,-16.3284,10,255,255,255
33250,1.4855,-16.5478,10,255,255,255
33500,0.689,-16.7323,10,255,255,255
33750,-0.1049,-16.8833,10,255,255,255
34000,-0.8935,-17.0021,10,255,255,255
34250,-1.6746,-17.0899,10,255,255,255
34500,-2.4456,-17.148,10,255,255,255
34750,-3.2038,-17.1784,10,255,255,255
35000,-3.9475,-17.1841,10,255,255,255
35250,-4.6764,-17.1674,10,255,255,255
35500,-5.3902,-17.1307,10,255,255,255
35750,-6.0887,-17.0764,10,255,255,255
36000,-6.7716,-17.0068,10,255,255,255
36250,-7.4388,-16.9243,10,255,255,255
36500,-8.0899,-16.8313,10,255,255,255
36750,-8.7247,-16.73,10,255,255,255
37000,-9.3429,-16.6229,10,255,255,255
37250,-9.9444,-16.5124,10,255,255,255
37500,-10.5287,-16.4007,10,255,255,255
37750,-11.0958,-16.2903,10,255,255,255
38000,-11.6453,-16.1834,10,255,255,255
38250,-12.1771,-16.0826,10,255,255,255
38500,-12.6907,-15.99,10,255,255,255
38750,-13.1861,-15.9082,10,255,255,255
39000,-13.6629,-15.8393,10,255,255,255
39250,-14.1209,-15.7859,10,255,255,255
39500,-14.5599,-15.7503,10,255,255,255
39750,-14.9795,-15.7347,10,255,255,255
40000,-15.3796,-15.7417,10,255,255,255
40250,-15.7599,-15.7735,10,255,255,255
40500,-16.1201,-15.8325,10,255,255,255
40750,-16.46,-15.921,10,255,255,255
41000,-16.7794,-16.0415,10,255,255,255
41250,-17.0801,-16.1936,10.0001,255,255,255
41500,-17.367,-16.3724,10.0006,255,255,255
41750,-17.6419,-16.576,10.0015,255,255,255
42000,-17.9068,-16.8023,10.003,255,255,255
42250,-18.1635,-17.0494,10.0049,255,255,255
42500,-18.4137,-17.3154,10.0075,255,255,255
42750,-18.6593,-17.5982,10.0107,255,255,255
43000,-18.9022,-17.8959,10.0147,255,255,255
43250,-19.1441,-18.2066,10.0194,255,255,255
43500,-19.3869,-18.5282,10.0249,255,255,255
43750,-19.6324,-18.8589,10.0313,255,255,255
44000,-19.8824,-19.1967,10.0387,255,255,255
44250,-20.1362,-19.5424,10.047,255,255,255
44500,-20.3895,-19.9004,10.0562,255,255,255
44750,-20.6417,-20.2708,10.0663,255,255,255
45000,-20.8925,-20.654,10.0774,255,255,255
45250,-21.1412,-21.0499,10.0893,255,255,255
45500,-21.3876,-21.4588,10.102,255,255,255
45750,-21.631,-21.8807,10.1157,255,255,255
46000,-21.8712,-22.3159,10.1301,255,255,255
46250,-22.1075,-22.7643,10.1454,255,255,255
46500,-22.3397,-23.2263,10.1615,255,255,255
46750,-22.5671,-23.7019,10.1784,255,255,255
47000,-22.7894,-24.1913,10.196,255,255,255
47250,-23.006,-24.6945,10.2145,255,255,255
47500,-23.2166,-25.2118,10.2337,255,255,255
47750,-23.4207,-25.7433,10.2536,255,255,255
48000,-23.6178,-26.2891,10.2742,255,255,255
48250,-23.8075,-26.8493,10.2956,255,255,255
48500,-23.9893,-27.4241,10.3177,255,255,255
48750,-24.1628,-28.0136,10.3404,255,255,255
49000,-24.3274,-28.6181,10.3638,255,255,255
49250,-24.4828,-29.2375,10.3879,255,255,255
49500,-24.6285,-29.8721,10.4127,255,255,255
49750,-24.7638,-30.5219,10.4383,255,255,255
50000,-24.888,-31.187,10.4647,255,255,255
50250,-25.0004,-31.867,10.4919,255,255,255
50500,-25.1003,-32.562,10.5199,255,255,255
50750,-25.187,-33.2717,10.5487,255,255,255
51000,-25.2599,-33.996,10.5782,255,255,255
51250,-25.3182,-34.7348,10.6085,255,255,255
51500,-25.3612,-35.4879,10.6396,255,255,255
51750,-25.3883,-36.2552,10.6713,255,255,255
52000,-25.3987,-37.0366,10.7039,255,255,255
52250,-25.3918,-37.8319,10.7371,255,255,255
52500,-25.3668,-38.6411,10.771,255,255,255
52750,-25.3231,-39.4639,10.8057,255,255,255
53000,-25.2599,-40.3002,10.841,255,255,255
53250,-25.1766,-41.15,10.877,255,255,255
53500,-25.0724,-42.013,10.9136,255,255,255
53750,-24.9467,-42.8891,10.9509,255,255,255
54000,-24.7988,-43.7782,10.9889,255,255,255
54250,-24.628,-44.6802,11.0275,255,255,255
54500,-24.4334,-45.5949,11.0667,255,255,255
54750,-24.2142,-46.5217,11.1065,255,255,255
55000,-23.9697,-47.46,11.147,255,255,255
55250,-23.6991,-48.409,11.188,255,255,255
55500,-23.4017,-49.3683,11.2297,255,255,255
55750,-23.0768,-50.337,11.272,255,255,255
56000,-22.7237,-51.3145,11.3149,255,255,255
56250,-22.3417,-52.3002,11.3583,255,255,255
56500,-21.9301,-53.2933,11.4024,255,255,255
56750,-21.4882,-54.2933,11.4471,255,255,255
57000,-21.0152,-55.2994,11.4923,255,255,255
