idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,1.5,1.5,-0.008,-1.0864688047975266e-08,-7.798532357520994e-09,0.7235077059043329,1.303762565757032e-07,9.358238829025193e-08,-18.056492470851992,0,70,255.0,255.0,255.0
1,0.05,1.4999999996088713,1.499999999719253,0.006368677412555986,-4.997756502068621e-09,-3.587324884459657e-09,-0.13348245528400676,1.0430100526056256e-07,7.486591063220155e-08,-16.223113976681592,0,70,255.0,255.0,255.0
2,0.1,1.4999999994784947,1.4999999996256703,-0.019820430116592024,-4.3458752191900894e-10,-3.119412943008394e-10,-0.8988036917638265,7.822575394542192e-08,5.614943297415116e-08,-14.389735482511195,0,70,255.0,255.0,255.0
3,0.15000000000000002,1.499999999543683,1.4999999996724616,-0.08198387635201802,2.824818892473571e-09,2.027618412955459e-09,-1.5724560035351265,5.2150502630281274e-08,3.743295531610077e-08,-12.556356988340795,0,70,255.0,255.0,255.0
4,0.2,1.4999999997392475,1.4999999998128353,-0.175538215058296,4.7804627411091186e-09,3.431354237309237e-09,-2.154439390597906,2.607525131514063e-08,1.8716477658050384e-08,-10.722978494170397,0,70,255.0,255.0,255.0
5,0.25,1.5,1.5,-0.2959,5.432344023987633e-09,3.899266178760497e-09,-2.6447538529521664,0.0,0.0,-8.889600000000002,0,70,255.0,255.0,255.0
6,0.30000000000000004,1.5000000002607525,1.500000000187165,-0.4384857849417041,4.780462741109116e-09,3.4313542373092365e-09,-3.043399390597907,-2.6075251315140664e-08,-1.8716477658050404e-08,-7.0562215058295985,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.5000000004563168,1.5000000003275382,-0.5987121236479821,2.824818892473567e-09,2.027618412955457e-09,-3.3503760035351267,-5.21505026302813e-08,-3.743295531610079e-08,-5.222843011659198,0,70,255.0,255.0,255.0
8,0.4,1.5000000005215048,1.5000000003743295,-0.7719955698834081,-4.3458752191901266e-10,-3.1194129430084145e-10,-3.5656836917638266,-7.822575394542193e-08,-5.6149432974151166e-08,-3.389464517488798,0,70,255.0,255.0,255.0
9,0.45,1.500000000391129,1.5000000002807472,-0.9537526774125561,-4.997756502068626e-09,-3.5873248844596597e-09,-3.6893224552840067,-1.0430100526056257e-07,-7.486591063220155e-08,-1.5560860233183966,0,70,255.0,255.0,255.0
10,0.5,1.5,1.5,-1.1394,-1.0864688047975266e-08,-7.798532357520994e-09,-3.7212922940956665,-1.303762565757032e-07,-9.358238829025192e-08,0.27729247085199304,0,70,255.0,255.0,255.0
11,0.55,1.4999999993481188,1.499999999532088,-1.3252967376457403,-1.4124094462367848e-08,-1.0138092064777292e-08,-3.718151982324367,1.0587911840678754e-22,7.940933880509066e-23,-0.15168000000000714,0,70,255.0,255.0,255.0
12,0.6000000000000001,1.4999999986962373,1.4999999990641761,-1.5115726752914804,-1.0864688047975254e-08,-7.798532357520986e-09,-3.7364602940956675,1.3037625657570342e-07,9.358238829025208e-08,-0.5806524708520073,0,70,255.0,255.0,255.0
13,0.65,1.4999999983702967,1.4999999988302202,-1.6993002441143499,-1.0864688047975197e-09,-7.798532357520966e-10,-3.7762172294095677,2.6075251315140646e-07,1.8716477658050387e-07,-1.0096249417040064,0,70,255.0,255.0,255.0
