idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0.0,0.0,0.0,-3.237566591958328e-18,-0.030802699378290888,0.030802699378290888,3.885079910349993e-17,0.8536323925394904,-0.8536323925394904,0,70,255.0,255.0,255.0
1,0.05,-1.165523973104998e-19,-0.0004760971776184721,0.0004760971776184721,-1.4892806323008309e-18,0.011698758285986186,-0.011698758285986186,3.1080639282799946e-17,0.8464259140315924,-0.8464259140315924,0,70,255.0,255.0,255.0
2,0.1,-1.5540319641399971e-19,0.001163870429842037,-0.001163870429842037,-1.2950266367833343e-19,0.05383989202486836,-0.05383989202486836,2.331047946209996e-17,0.8392194355236944,-0.8392194355236944,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.3597779686224978e-19,0.0049018866261117825,-0.0049018866261117825,8.417673139091655e-19,0.09562070183835562,-0.09562070183835562,1.554031964139997e-17,0.8320129570157964,-0.8320129570157964,0,70,255.0,255.0,255.0
4,0.2,-7.770159820699978e-20,0.010719935214921018,-0.010719935214921018,1.424529300461663e-18,0.137041187726448,-0.137041187726448,7.770159820699987e-18,0.8248064785078983,-0.8248064785078983,0,70,255.0,255.0,255.0
5,0.25,0.0,0.0186,-0.0186,1.618783295979164e-18,0.17810134968914546,-0.17810134968914546,0.0,0.8176000000000008,-0.8176000000000008,0,70,255.0,255.0,255.0
6,0.30000000000000004,7.770159820699994e-20,0.028524064785078993,-0.028524064785078993,1.4245293004616639e-18,0.21880118772644808,-0.21880118772644808,-7.770159820699993e-18,0.8103935214921023,-0.8103935214921023,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.359777968622498e-19,0.04047411337388823,-0.04047411337388823,8.417673139091647e-19,0.2591407018383557,-0.2591407018383557,-1.554031964139998e-17,0.803187042984204,-0.803187042984204,0,70,255.0,255.0,255.0
8,0.4,1.5540319641399976e-19,0.05443212957015798,-0.05443212957015798,-1.2950266367833343e-19,0.29911989202486844,-0.29911989202486844,-2.3310479462099963e-17,0.7959805644763055,-0.7959805644763055,0,70,255.0,255.0,255.0
9,0.45,1.1655239731049978e-19,0.07038009717761849,-0.07038009717761849,-1.4892806323008315e-18,0.3387387582859862,-0.3387387582859862,-3.1080639282799946e-17,0.7887740859684071,-0.7887740859684071,0,70,255.0,255.0,255.0
10,0.5,0.0,0.0883,-0.0883,-3.237566591958328e-18,0.37799730062170916,-0.37799730062170916,-3.885079910349993e-17,0.7815676074605085,-0.7815676074605085,0,70,255.0,255.0,255.0
11,0.55,-1.9425399551749988e-19,0.10817183803730257,-0.10817183803730257,-4.2088365695458266e-18,0.41677649080822193,-0.41677649080822193,3.697785493223493e-32,0.7695999999999994,-0.7695999999999994,0,70,255.0,255.0,255.0
12,0.6000000000000001,-3.885079910349997e-19,0.12996767607460513,-0.12996767607460513,-3.2375665919583244e-18,0.4549573006217092,-0.4549573006217092,3.885079910350001e-17,0.7576323925394904,-0.7576323925394904,0,70,255.0,255.0,255.0
13,0.65,-4.856349887937492e-19,0.15365759509325638,-0.15365759509325638,-3.237566591958302e-19,0.49253973006217094,-0.49253973006217094,7.770159820699988e-17,0.7456647850789814,-0.7456647850789814,0,70,255.0,255.0,255.0
14,0.7000000000000001,-3.8850799103499895e-19,0.17921167607460514,-0.17921167607460514,4.5325932287416676e-18,0.5295237791296072,-0.5295237791296072,1.1655239731049984e-16,0.7336971776184723,-0.7336971776184723,0,70,255.0,255.0,255.0
15,0.75,0.0,0.2066,-0.2066,1.1331483071854148e-17,0.5659094478240182,-0.5659094478240182,1.5540319641399978e-16,0.721729570157966,-0.721729570157966,0,70,255.0,255.0,255.0
16,0.8,6.993143838629995e-19,0.23579338306571088,-0.23579338306571088,1.5410816977721644e-17,0.6017408490406648,-0.6017408490406648,7.770159820699876e-18,0.7115264785078986,-0.7115264785078986,0,70,255.0,255.0,255.0
17,0.8500000000000001,1.4180541672777488e-18,0.26676558232769154,-0.26676558232769154,1.2108499053924136e-17,0.6370620956748081,-0.6370620956748081,-1.3986287677260003e-16,0.7013233868578312,-0.7013233868578312,0,70,255.0,255.0,255.0
18,0.9,1.7871367587609976e-18,0.2994910900568166,-0.2994910900568166,1.4245293004616652e-18,0.6718731877264479,-0.6718731877264479,-2.8749591336589957e-16,0.691120295207764,-0.691120295207764,0,70,255.0,255.0,255.0
19,0.9500000000000001,1.4374795668294958e-18,0.33394439852396124,-0.33394439852396124,-1.6641092282665836e-17,0.7061741251955845,-0.7061741251955845,-4.3512894995919945e-16,0.6809172035576966,-0.6809172035576966,0,70,255.0,255.0,255.0
20,1.0,0.0,0.3701,-0.3701,-4.2088365695458266e-17,0.7399649080822176,-0.7399649080822176,-5.827619865524991e-16,0.670714111907631,-0.670714111907631,0,70,255.0,255.0,255.0
21,1.05,-2.6030035399344984e-18,0.4079322296998541,-0.4079322296998541,-5.743443134134074e-17,0.7732361130291185,-0.7732361130291185,-3.10806392827995e-17,0.6601340859684084,-0.6601340859684084,0,70,255.0,255.0,255.0
22,1.1,-5.283708678075996e-18,0.4474147946146292,-0.4474147946146292,-4.5196429623738224e-17,0.8059783166790585,-0.8059783166790585,5.206007079869001e-16,0.6495540600291859,-0.6495540600291859,0,70,255.0,255.0,255.0
23,1.1500000000000001,-6.662912046250241e-18,0.4885212446794774,-0.4885212446794774,-5.374360542650692e-18,0.8381915190320373,-0.8381915190320373,1.0722820552565997e-15,0.6389740340899633,-0.6389740340899633,0,70,255.0,255.0,255.0
24,1.2000000000000002,-5.361410276282981e-18,0.5312251298295504,-0.5312251298295504,6.203177590192185e-17,0.8698757200880549,-0.8698757200880549,1.6239634025262993e-15,0.6283940081507408,-0.6283940081507408,0,70,255.0,255.0,255.0
25,1.25,0.0,0.5755,-0.5755,1.570219797099789e-16,0.9010309198471113,-0.9010309198471113,2.1756447497959965e-15,0.6178139822115165,-0.6178139822115165,0,70,255.0,255.0,255.0
26,1.3,9.712699775874994e-18,0.6213192981348729,-0.6213192981348729,2.1432690838764134e-16,0.931650698842861,-0.931650698842861,1.165523973104981e-16,0.6069771776184725,-0.6069771776184725,0,70,255.0,255.0,255.0
27,1.35,1.9716780545026234e-17,0.668656039213792,-0.668656039213792,1.6867721944102876e-16,0.9617286376089585,-0.9617286376089585,-1.9425399551750003e-15,0.5961403730254284,-0.5961403730254284,0,70,255.0,255.0,255.0
28,1.4000000000000001,2.486451142623996e-17,0.7174831312252747,-0.7174831312252747,2.0072912870141048e-17,0.9912647361454039,-0.9912647361454039,-4.001632307660499e-15,0.5853035684323844,-0.5853035684323844,0,70,255.0,255.0,255.0
29,1.4500000000000002,2.0008161538302427e-17,0.7677734821578384,-0.7677734821578384,-2.3148601132502153e-16,1.0202589944521971,-1.0202589944521971,-6.060724660145997e-15,0.5744667638393404,-0.5744667638393404,0,70,255.0,255.0,255.0
30,1.5,0.0,0.8195,-0.8195,-5.859995531444574e-16,1.048711412529338,-1.048711412529338,-8.11981701263149e-15,0.5636299592462972,-0.5636299592463008,0,70,255.0,255.0,255.0
31,1.55,-3.624779556356548e-17,0.8726353777606546,-0.8726353777606546,-7.998732022092248e-16,1.076609091599438,-1.0766090915994382,-4.351289499591944e-16,0.5522772035576967,-0.5522772035576982,0,70,255.0,255.0,255.0
32,1.6,-7.358341350202894e-17,0.9271514485302034,-0.9271514485302034,-6.295124481403768e-16,1.1039391328851076,-1.1039391328851078,7.2495591127131e-15,0.5409244478690961,-0.5409244478690954,0,70,255.0,255.0,255.0
