idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
80,4.0,1.8445,-1.3517,-10.0719,0.9621498970401106,0.4141896460614115,-0.20084823098780114,1.3389023906519082,0.5759468221917174,-0.2840745887996139,0,70,255.0,255.0,255.0
81,4.05,1.894276497448577,-1.3302725501668604,-10.082295989676213,1.028817493068114,0.4428690273107521,-0.21496105387725203,1.3278014504682336,0.5712284277819111,-0.2804383267784248,0,70,255.0,255.0,255.0
82,4.1000000000000005,1.9473724985233256,-1.307417029264266,-10.093393075169375,1.0949300420869346,0.4713124888396029,-0.22889206366564377,1.3167005102845588,0.5665100333721046,-0.2768020647572356,0,70,255.0,255.0,255.0
83,4.15,2.0037602508737846,-1.2831452332782416,-10.105182165824425,1.1604875440965705,0.4995200306479629,-0.24264126035297576,1.3055995701008842,0.5617916389622981,-0.2731658027360465,0,70,255.0,255.0,255.0
84,4.2,2.063412002149496,-1.2574689581948113,-10.11765417098632,1.2254899990970225,0.5274916527358325,-0.2562086439392483,1.2944986299172097,0.5570732445524917,-0.2695295407148574,0,70,255.0,255.0,255.0
85,4.25,2.1263,-1.2304,-10.1308,1.289937407088291,0.5552273551032119,-0.2695942144244614,1.2833976897335386,0.5523548501426863,-0.2658932786936665,0,70,255.0,255.0,255.0
86,4.3,2.192399593229972,-1.2019487321049032,-10.144612015571068,1.3540158373783697,0.5828124922458203,-0.282885173447804,1.27973952186962,0.551050635561656,-0.265745082240041,0,70,255.0,255.0,255.0
87,4.3500000000000005,2.2616985352646175,-1.1721198376209017,-10.159088393847737,1.4179113592752537,0.6103324186593777,-0.29616872264846567,1.276081354005701,0.5497464209806256,-0.26559688578641544,0,70,255.0,255.0,255.0
88,4.4,2.3341876806842774,-1.1409165770844492,-10.17422876433887,1.4816239727789404,0.6377871343438831,-0.3094448620264457,1.2724231861417823,0.5484422063995954,-0.2654486893327899,0,70,255.0,255.0,255.0
89,4.45,2.4098578840692917,-1.1083422110319978,-10.190032756553336,1.5451536778894315,0.6651766392993371,-0.32271359158174456,1.2687650182778636,0.547137991818565,-0.26530049287916435,0,70,255.0,255.0,255.0
